EAN;PRODUTO;DESCRITIVO
;31;SUINO CONG COSTELINHA
;86;SUINO FRESCO TOUCINHO GORDO FRIGIDE
;109;SUINO CONG BISTECA CORTADA*
7896205774203;208;MAC INST ADRIA 85G GALINHA
;222;LING TOSCANA TRADICIONAL AURORA
;420;LARANJA  LIMA KG
;611;CENOURA   kg
;628;CHUCHU
;659;BOV 1 FILE MIGNON
;741;CALAB  GRANEL PERDIGAO
;857;BOV 2 COSTELA P.A
;895;BOV  MIUDO BUCHO
;949;AVE  RESFR FRANGO INTEIRO
;963;AVE  RESFR PEITO FRANGO
;970;AVE  RESFR ASA FRANGO
;987;AVE  RESFR FILE FRANGO
;1021;AVE  RESFR FIGADO FRANGO
;1359;ABACATE KG
;1373;LARANJA  PERA    kg
;1427;MACA ARGENTINA  kg ****************
;1465;BANANA  PRATA       kg
;1472;PIMENTAO VERDE kg
;1557;PRESUNTO COZ  AURORA
;1588;UVA ITALIA KG
;1625;PEPINO COMUM VERDE kg
;1670;BETERRABA
;1748;VAGEM MACARRAO KG
;1762;MANDIOCA       kg
;1816;VERD ALFACE CRESPA
;1823;VERD AGRIAO
;1847;BOV 2 ACEM
;1885;BOV 1 ALCATRA C/ MAMINHA
;1908;VERD COUVE MANTEIGA
;1977;BOV 1 CHULETA  C. FILE
;1991;BOV 1 CONTRA FILE
;2004;BOV 1 CUPIM
;2035;BOV 1 CX DURO
;2042;BOV 1 CX MOLE
;2073;BOV 1 FRALDINHA
;2110;BOV 2 MUSCULO
;2134;BATATA GRANEL MONALIZA LAVADA
;2165;BOV 1 PATINHO
;2189;BOV 1 PICANHA BOVINA
;2219;APRESUNTADO   AURORA
;2448;PRESUNTO PERDIGAO VACUO
;2585;QUEIJO MUSS FATIADO NA HORA
;2622;QUEIJO PRATO FATIADO NA HORA
;2936;BOV  MIUDO FIGADO
;2943;SALSICHA GRANEL MARA
;4091;SALSICHA GRANEL AURORA
;4152;BOV  MIUDO RABADA
;4466;SUINO BACON VACUO REZENDE
;4916;ABOBORA ITALIA ******************
;5036;AVE  RESFR FRANGO A PASSARINHO
;5067;BOV 2 PALETA SÓ MIOLO
;5128;BOV 2 PALETA
;5388;TOMATE COMUM
;5869;PERA kg
;6934;BOV 2 CARNE MOIDA
;8259;BOV 2 ACEM SÓ MIOLO
;8426;MACA GALA FUGI kg
;8525;BOV 2 BIFE ESPECIAL
7896089010916;15691;CAFE  CABOCLO 500G A VACUO
;1069;LING TOSCANA PERDIGAO
;1137;MAMAO FORMOZA  kg *****************
;1151;MANGA TOMY/PALMER   kg
;1168;MARACUJA AZEDO  kg  ***************
;1250;MORTAD P/ FATIAR MARBA TRAD
;1335;LIMAO TAITI   kg
;1342;MAMAO PAPAYA          UN
;5081;BOV 1 ALCATRA MIOLO
;10917;AVE  RESFR CORACAO
;18555;QUEIJO MUSSA VACUO
7891132000692;18739;MID  MACA
;18746;MELANCIA kg
;13604;PRESUNTO COZ  SADIA
;13611;SALSICHA GRANEL PERDIGAO
;14113;MELAO AMARELO   kg  ***************
;14502;CALAB  GRANEL SADIA
7896034610031;15417;LEITE LV  PARMALAT DESNATADO 1L
7896290300011;15448;ARROZ  5kg  PRATO FINO
7893333317456;15554;BISC CLUB SOCIAL  156G  INTEGRAL
;25454;BOV 2 ACEM C/OSSO
;25461;BOV 2 PALETA C/OSSO
7896048258014;16681;VINAGRE  750ml CASTELO VINHO TINTO
;16957;CONF PAO FRANCES kg
7891149103119;100328;CERV LATA SKOL 269ml REDONDINHA
